country,year,patents
AD,1987,1
AD,1993,1
AD,1995,1
AD,1996,1
AD,1998,2
AD,1999,1
AD,2000,1
AD,2002,1
AD,2003,1
AD,2004,1
AD,2005,2
AD,2007,1
AD,2008,2
AD,2009,5
AD,2010,7
AD,2011,2
AD,2012,2
AD,2014,5
AD,2015,5
AD,2016,2
AD,2017,3
AD,2018,2
AD,2019,2
AD,2020,5
AD,2021,2
AD,2022,2
AD,2023,2
AD,2024,1
AD,2025,2
AE,1979,1
AE,1982,3
AE,1983,2
AE,1984,3
AE,1985,2
AE,1986,1
AE,1987,1
AE,1989,3
AE,1990,1
AE,1991,3
AE,1992,1
AE,1993,1
AE,1994,2
AE,1995,2
AE,1997,2
AE,1998,2
AE,1999,3
AE,2000,4
AE,2001,6
AE,2002,7
AE,2003,7
AE,2004,5
AE,2005,9
AE,2006,18
AE,2007,17
AE,2008,19
AE,2009,21
AE,2010,19
AE,2011,24
AE,2012,40
AE,2013,33
AE,2014,77
AE,2015,87
AE,2016,99
AE,2017,129
AE,2018,132
AE,2019,162
AE,2020,185
AE,2021,166
AE,2022,172
AE,2023,207
AE,2024,221
AE,2025,300
AF,1976,2
AF,1980,1
AF,1989,1
AF,1990,1
AF,1996,1
AF,2005,2
AF,2007,2
AF,2009,1
AF,2010,2
AF,2011,1
AF,2012,14
AF,2013,14
AF,2014,17
AF,2015,13
AF,2016,14
AF,2017,7
AF,2018,11
AF,2019,1
AF,2020,2
AG,1978,1
AG,1979,1
AG,1991,1
AG,1994,1
AG,1995,2
AG,1996,2
AG,1999,1
AG,2001,1
AG,2008,1
AG,2010,1
AG,2011,1
AG,2012,4
AG,2013,1
AG,2014,1
AG,2016,1
AG,2024,3
AG,2025,5
AI,2009,1
AI,2011,1
AI,2012,1
AI,2017,1
AI,2020,1
AI,2021,2
AI,2022,3
AI,2023,4
AI,2024,3
AI,2025,2
AL,1992,1
AL,1999,1
AL,2002,1
AL,2011,1
AL,2013,1
AL,2017,2
AL,2018,1
AL,2019,1
AL,2020,3
AL,2021,4
AL,2022,2
AL,2023,1
AL,2024,1
AM,1979,1
AM,1985,1
AM,1990,1
AM,1992,1
AM,1994,1
AM,1995,2
AM,1997,2
AM,1998,2
AM,1999,5
AM,2000,2
AM,2001,2
AM,2002,2
AM,2003,3
AM,2004,1
AM,2005,3
AM,2006,5
AM,2007,4
AM,2008,4
AM,2009,1
AM,2010,4
AM,2011,13
AM,2012,3
AM,2013,5
AM,2014,9
AM,2015,11
AM,2016,18
AM,2017,17
AM,2018,23
AM,2019,40
AM,2020,31
AM,2021,30
AM,2022,31
AM,2023,22
AM,2024,44
AM,2025,39
AO,1978,1
AO,2004,2
AO,2009,2
AO,2012,5
AO,2014,1
AO,2016,1
AO,2019,1
AO,2021,2
AO,2022,2
AO,2024,1
AO,2025,1
AR,1976,29
AR,1977,22
AR,1978,23
AR,1979,24
AR,1980,21
AR,1981,25
AR,1982,18
AR,1983,25
AR,1984,24
AR,1985,12
AR,1986,20
AR,1987,19
AR,1988,21
AR,1989,25
AR,1990,20
AR,1991,22
AR,1992,24
