name,patents
"Samsung Display Co., Ltd.",174536
International Business Machines Corporation,164083
Canon Kabushiki Kaisha,91331
Sony Group Corporation,62911
Fujitsu Limited,56343
Kabushiki Kaisha Toshiba,53607
Intel Corporation,53219
General Electric Company,52043
Lg Electronics Inc.,50000
"Hitachi, Ltd.",46073
Mitsubishi Electric Corporation,45743
Qualcomm Incorporated,41723
"Taiwan Semiconductor Manufacturing Company, Ltd.",40871
Toyota Jidosha Kabushiki Kaisha,39414
Apple Inc.,39060
"Sumitomo Electric Industries, Ltd.",38360
"Micron Technology, Inc.",38112
Nec Corporation,36209
Seiko Epson Corporation,33863
"Honda Motor Co., Ltd.",32298
Google Llc,31449
Siemens Aktiengesellschaft,31023
Microsoft Corporation,30300
Robert Bosch Gmbh,29527
Texas Instruments Incorporated,29381
"Ricoh Company, Ltd.",28784
"Huawei Technologies Co., Ltd.",27566
"Hewlett-Packard Development Company, L.P.",27517
Sharp Kabushiki Kaisha,26727
"Ford Global Technologies, Llc",25987
Telefonaktiebolaget Lm Ericsson (Publ),25793
"Microsoft Technology Licensing, Llc",24834
Xerox Corporation,24268
The Boeing Company,22500
"Amazon Technologies, Inc.",22458
Eastman Kodak Company,21662
"Motorola, Inc.",20387
"Cisco Technology, Inc.",20365
Denso Corporation,20316
Gm Global Technology Operations Llc,19839
Hyundai Motor Company,18862
Basf Se,18683
"Boe Technology Group Co., Ltd.",18494
Brother Kogyo Kabushiki Kaisha,17796
Sk Hynix Inc.,17292
The Procter & Gamble Company,17259
"Semiconductor Energy Laboratory Co., Ltd.",16947
Panasonic Holdings Corporation,16843
"At&T Intellectual Property I, L.P.",16535
E.I. Du Pont De Nemours And Company,16462
Fujifilm Corporation,16295
Honeywell International Inc.,15659
The Regents Of The University Of California,15525
"Nike, Inc.",15269
Infineon Technologies Ag,15060
"The United States Of America, As Represented By The Secretary Of The Navy",14855
Electronics And Telecommunications Research Institute,14403
Bayer Aktiengesellschaft,14222
3M Innovative Properties Company,14210
U.S. Philips Corporation,14137
"Murata Manufacturing Co., Ltd.",14058
"Hon Hai Precision Industry Co., Ltd.",13822
"Applied Materials, Inc.",13803
"Nissan Motor Co., Ltd.",13578
"Panasonic Intellectual Property Management Co., Ltd.",13366
Dell Products L.P.,13156
"Advanced Micro Devices, Inc.",13037
"Lg Display Co., Ltd.",12792
Tencent Technology (Shenzhen) Company Limited,12451
"Halliburton Energy Services, Inc.",11804
"Fuji Xerox Co., Ltd.",11765
Koninklijke Philips N.V.,11265
General Motors Llc,11260
Broadcom Corporation,11171
Tokyo Electron Limited,11136
Oracle International Corporation,10931
United Technologies Corporation,10721
Koninklijke Philips Electronics Nv,10341
Schlumberger Technology Corporation,10227
"Hewlett-Packard Company, L.P.",9821
Caterpillar Inc.,9499
Lucent Technologies Inc.,9436
Industrial Technology Research Institute,9148
Winbond Electronics Corp.,9065
Nikon Corporation,9055
"Sanyo Electric Co., Ltd.",8983
"Medtronic, Inc.",8805
Seagate Technology Llc,8703
Westinghouse Electric Company Llc,8677
Deere & Company,8534
Commissariat À L'Energie Atomique Et Aux Energies Alternatives,8516
Massachusetts Institute Of Technology,8461
"Lg Chem, Ltd.",8391
Covidien Lp,8388
The United States Of America As Represented By The Secretary Of The Army,8322
Nokia,8315
Yazaki Corporation,8307
Kia Motors Corporation,8287
Olympus Corporation,8258
Raytheon Company,8238
