name,patents
Shunpei Yamazaki,6787
Kia Silverbrook,4778
Tao Luo,4490
Jonathan P. Ive,2947
Junyi Li,2881
Kangguo Cheng,2835
"Frederick E. Shelton, IV",2723
Peter Gaal,2554
Duncan Robert Kerr,2534
Bartley K. Andre,2478
Richard P. Howarth,2402
Wanshi Chen,2342
Eugene Antony Whang,2248
Xiaoxia Zhang,2158
Peter Russell-Clarke,2012
Rico Zörkendörfer,1993
Chen-Hua Yu,1981
"Lowell L. Wood, JR.",1974
Christopher J. Stringer,1918
Esmael Hejazi Dinan,1915
Roderick A. Hyde,1893
Daniele De Iuliis,1835
Jing Sun,1833
Hanbyul Seo,1823
Jody Akana,1757
Matthew Dean Rohrbach,1731
Jeremy Bataillou,1717
Daniel J. Coster,1704
Shan Liu,1702
M. Evans Hankey,1676
Jun Koyama,1543
Sarbajit K. Rakshit,1504
Kai Zhang,1428
Yunjung Yi,1419
Donald E. Weder,1413
Gurtej S. Sandhu,1401
Julian Hoenig,1373
Takashi Suzuki,1340
Shota Aoyagi,1322
Shou-Shan Fan,1314
Suckchel Yang,1310
Paul Lapstun,1300
Alexander Reznicek,1290
Satoshi Seo,1290
Li Zhang,1264
Clarence T. Tegreene,1253
Juan Montojo,1251
Jason L. Harris,1235
Hao Xu,1223
Kijun Kim,1223
Takahiro NISHI,1215
Benjamin Andrew Shaffer,1202
Seungmin LEE,1202
Joonkui Ahn,1200
Ruilong Xie,1189
Marta Karczewicz,1153
Anthony Michael Ashcroft,1143
Imran Chaudhri,1120
Dawei Zhang,1115
Leonard Forbes,1114
Tingfang Ji,1110
Yan Zhou,1096
Sony Akkarakaran,1092
Edward K.Y. Jung,1091
Mikael Silvanto,1076
"Rick A. Hamilton, II",1068
Michael J. Sullivan,1061
Jason K. Resch,1060
David R. Hall,1036
Hajime Kimura,1002
Jordin T. Kare,993
Jay S. Walker,986
Chih-Hao Wang,975
Satoshi Nagata,969
Lei Zhang,965
Shin Nishibori,957
William H. Eby,933
Kyungmin Park,931
Hongyuan Zhang,915
Chang-Hwan Hwang,906
Hidetoshi Suzuki,902
Justin T. Mason,901
Nathan P. Myhrvold,901
Chih-Chao Yang,898
Hua Zhou,898
Stuart C. Salter,893
Mark A. Malamud,885
Hongbin Liu,878
Hsien-Wei Chen,874
Hong He,873
Lee D. Whetsel,867
Yue Wang,867
Hiroshi Tanaka,866
Robert W. Lord,866
Alan C. Dye,861
Royce A. Levien,858
Youngdae Lee,855
Akihiko Nishio,854
Lei Wang,851
Hiroshi Suzuki,850
